date,id1,id2,object,value,event,devices
2022-01-10 19:00:01,1409,1,полукопченые колбасы,6.4,Температура вышла за пределы допустимого,sensor_1
2022-01-10 19:15:01,1410,7,сырое мясо,3.9,Температура в пределах допустимого,sensor_7
2022-01-10 19:20:01,1411,5,молочная продукция,8.1,Температура вышла за пределы допустимого,sensor_5
2022-01-10 19:35:01,1412,2,вареные колбасы,8.6,Температура вышла за пределы допустимого,sensor_2
2022-01-10 19:40:01,1413,1,полукопченые колбасы,5.6,Температура в пределах допустимого,sensor_1
2022-01-10 19:55:01,1414,5,молочная продукция,5.6,Температура в пределах допустимого,sensor_5
2022-01-10 20:10:01,1415,2,вареные колбасы,6,Температура в пределах допустимого,sensor_2
2022-01-10 20:45:01,1416,8,заморозка в центре зала,-17.1,Температура вышла за пределы допустимого,sensor_8
2022-01-10 20:50:00,1417,8,заморозка в центре зала,-18.9,Температура в пределах допустимого,sensor_8
2022-01-10 21:10:01,1418,7,сырое мясо,5.2,Температура вышла за пределы допустимого,sensor_7
2022-01-10 21:25:00,1419,1,полукопченые колбасы,6.7,Температура вышла за пределы допустимого,sensor_1
2022-01-10 21:35:01,1420,1,полукопченые колбасы,6,Температура в пределах допустимого,sensor_1
2022-01-10 22:00:01,1421,8,заморозка в центре зала,-9.5,Температура вышла за пределы допустимого,sensor_8
2022-01-10 22:10:01,1422,1,полукопченые колбасы,6.6,Температура вышла за пределы допустимого,sensor_1
2022-01-10 22:20:01,1423,7,сырое мясо,4,Температура в пределах допустимого,sensor_7
2022-01-10 22:25:01,1424,5,молочная продукция,7.9,Температура вышла за пределы допустимого,sensor_5
2022-01-10 22:25:02,1425,8,заморозка в центре зала,-19.4,Температура в пределах допустимого,sensor_8
2022-01-10 22:40:01,1426,1,полукопченые колбасы,5.6,Температура в пределах допустимого,sensor_1
2022-01-10 22:50:01,1427,5,молочная продукция,6,Температура в пределах допустимого,sensor_5
2022-01-10 23:20:01,1428,3,деликатесы,6.6,Температура вышла за пределы допустимого,sensor_3
2022-01-10 23:25:01,1429,3,деликатесы,5.6,Температура в пределах допустимого,sensor_3
2022-01-10 23:45:01,1430,2,вареные колбасы,8.2,Температура вышла за пределы допустимого,sensor_2
2022-01-11 00:10:00,1431,2,вареные колбасы,5.9,Температура в пределах допустимого,sensor_2
2022-01-11 00:55:01,1432,7,сырое мясо,5.2,Температура вышла за пределы допустимого,sensor_7
2022-01-11 01:10:01,1433,7,сырое мясо,3.7,Температура в пределах допустимого,sensor_7
2022-01-11 01:30:01,1434,1,полукопченые колбасы,6.2,Температура вышла за пределы допустимого,sensor_1
2022-01-11 01:35:01,1435,1,полукопченые колбасы,5.7,Температура в пределах допустимого,sensor_1
2022-01-11 01:35:01,1436,5,молочная продукция,7.8,Температура вышла за пределы допустимого,sensor_5
2022-01-11 01:50:01,1437,5,молочная продукция,5.5,Температура в пределах допустимого,sensor_5
2022-01-11 03:25:01,1438,7,сырое мясо,5.7,Температура вышла за пределы допустимого,sensor_7
2022-01-11 03:30:01,1439,2,вареные колбасы,7.9,Температура вышла за пределы допустимого,sensor_2
2022-01-11 04:10:01,1440,2,вареные колбасы,5.8,Температура в пределах допустимого,sensor_2
2022-01-11 04:15:02,1441,7,сырое мясо,3.9,Температура в пределах допустимого,sensor_7
2022-01-11 04:25:00,1442,1,полукопченые колбасы,6.4,Температура вышла за пределы допустимого,sensor_1
2022-01-11 04:25:01,1443,5,молочная продукция,7.7,Температура вышла за пределы допустимого,sensor_5
2022-01-11 04:40:01,1444,1,полукопченые колбасы,5.8,Температура в пределах допустимого,sensor_1
2022-01-11 04:50:01,1445,5,молочная продукция,5.6,Температура в пределах допустимого,sensor_5
2022-01-11 06:20:01,1446,7,сырое мясо,5.4,Температура вышла за пределы допустимого,sensor_7
